chemical_formula,A,B,D0,geo_cost,pred_score,manhattan,euclid
NF,N,F,3.5,4.012182496887023,-4.012182496887023,2,2.0
PbS,Pb,S,3.49,3.69033145159195,-3.69033145159195,5,3.605551275463989
LiO,Li,O,3.49,13.434606517430584,-13.434606517430584,15,15.0
TbI,Tb,I,3.48,12.954706064262735,-12.954706064262735,15,14.035668847618199
SrS,Sr,S,3.48,11.534233051599644,-11.534233051599644,16,14.142135623730951
NH,N,H,3.47,12.637180011431393,-12.637180011431393,15,14.035668847618199
BiO,Bi,O,3.47,5.7318987196177185,-5.7318987196177185,5,4.123105625617661
PmBr,Pm,Br,3.47,12.970041484918633,-12.970041484918633,16,14.142135623730951
CH,C,H,3.46,11.101093731702768,-11.101093731702768,14,13.038404810405298
GdI,Gd,I,3.46,12.954706064262735,-12.954706064262735,15,14.035668847618199
CaS,Ca,S,3.46,10.73943215864445,-10.73943215864445,15,14.035668847618199
PtH,Pt,H,3.44,9.613723552672626,-9.613723552672626,14,10.295630140987
SmBr,Sm,Br,3.43,12.970041484918633,-12.970041484918633,16,14.142135623730951
CuBr,Cu,Br,3.43,5.406643421447164,-5.406643421447164,6,6.0
BH,B,H,3.42,10.39183858769954,-10.39183858769954,13,12.041594578792296
ScCl,Sc,Cl,3.4,11.494812545587674,-11.494812545587674,15,14.035668847618199
EuBr,Eu,Br,3.38,12.970041484918633,-12.970041484918633,16,14.142135623730951
MgBr,Mg,Br,3.35,12.844068740938644,-12.844068740938644,16,15.033296378372908
AuAl,Au,Al,3.34,2.9227605511660455,-2.9227605511660455,5,3.605551275463989
GeH,Ge,H,3.3,10.444261236440845,-10.444261236440845,16,13.341664064126334
MgCl,Mg,Cl,3.29,13.046631345776444,-13.046631345776444,15,15.0
ErI,Er,I,3.27,12.954706064262735,-12.954706064262735,15,14.035668847618199
CuI,Cu,I,3.27,5.513952975021452,-5.513952975021452,7,6.082762530298219
FeS,Fe,S,3.24,6.30970116867084,-6.30970116867084,9,8.06225774829855
AgCl,Ag,Cl,3.22,6.064057357415777,-6.064057357415777,8,6.324555320336759
AuH,Au,H,3.22,10.352023880055771,-10.352023880055771,15,11.180339887498949
NiSe,Ni,Se,3.218,4.601886504939817,-4.601886504939817,6,6.0
BiS,Bi,S,3.17,4.3059868047449115,-4.3059868047449115,4,3.1622776601683795
PrI,Pr,I,3.17,12.954706064262735,-12.954706064262735,15,14.035668847618199
NdI,Nd,I,3.12,12.954706064262735,-12.954706064262735,15,14.035668847618199
AgBr,Ag,Br,3.1,5.8614947525779755,-5.8614947525779755,7,6.082762530298219
AuS,Au,S,3.089,5.396328947412601,-5.396328947412601,8,5.830951894845301
BiCl,Bi,Cl,3.08,5.840636355131816,-5.840636355131816,5,3.605551275463989
PmI,Pm,I,3.07,12.954706064262735,-12.954706064262735,15,14.035668847618199
SiH,Si,H,3.06,10.522676701421533,-10.522676701421533,15,13.152946437965905
AlH,Al,H,3.06,10.173661205477082,-10.173661205477082,14,12.165525060596439
SmI,Sm,I,3.04,12.954706064262735,-12.954706064262735,15,14.035668847618199
PH,P,H,3.02,11.442503882420155,-11.442503882420155,16,14.142135623730951
EuI,Eu,I,2.99,12.954706064262735,-12.954706064262735,15,14.035668847618199
BiH,Bi,H,2.9,11.96943575571062,-11.96943575571062,19,14.866068747318506
NBr,N,Br,2.9,5.451087167924328,-5.451087167924328,4,2.8284271247461903
IF,I,F,2.879,5.7866000456514435,-5.7866000456514435,3,3.0
DyI,Dy,I,2.85,12.954706064262735,-12.954706064262735,15,14.035668847618199
HoI,Ho,I,2.85,12.954706064262735,-12.954706064262735,15,14.035668847618199
GaH,Ga,H,2.84,10.073475476721315,-10.073475476721315,15,12.36931687685298
CuS,Cu,S,2.8,4.07455647589806,-4.07455647589806,6,5.0990195135927845
CuO,Cu,O,2.79,5.500468390770867,-5.500468390770867,7,5.385164807134504
ClO,Cl,O,2.751,2.960561465259712,-2.960561465259712,2,1.4142135623730951
FeSe,Fe,Se,2.739,6.175762229542817,-6.175762229542817,8,8.0
LuI,Lu,I,2.73,12.954706064262735,-12.954706064262735,15,14.035668847618199
CuH,Cu,H,2.73,8.572673125825576,-8.572673125825576,13,10.44030650891055
TmI,Tm,I,2.7,12.954706064262735,-12.954706064262735,15,14.035668847618199
YbI,Yb,I,2.67,12.954706064262735,-12.954706064262735,15,14.035668847618199
ClF,Cl,F,2.617,2.283913733829774,-2.283913733829774,1,1.0
AgI,Ag,I,2.6,5.589858019488824,-5.589858019488824,6,6.0
CuSe,Cu,Se,2.55,3.940617536770037,-3.940617536770037,5,5.0
MnH,Mn,H,2.5,5.478044142711288,-5.478044142711288,9,6.708203932499369
InH,In,H,2.48,10.262948620053034,-10.262948620053034,16,12.649110640673518
LiH,Li,H,2.428365,0.6385349991658599,-0.6385349991658599,1,1.0
MgS,Mg,S,2.4,11.51198179538954,-11.51198179538954,14,14.0
CuTe,Cu,Te,2.35,4.143547133897453,-4.143547133897453,6,5.0990195135927845
AgH,Ag,H,2.28,9.34285687209621,-9.34285687209621,14,10.770329614269007
BrCl,Br,Cl,2.233,1.8288828606736445,-1.8288828606736445,1,1.0
ICl,I,Cl,2.1531,3.5026863118216696,-3.5026863118216696,2,2.0
BeH,Be,H,2.034,1.0258129640975642,-1.0258129640975642,2,1.4142135623730951
BaH,Ba,H,1.95,3.523098714247645,-3.523098714247645,6,5.0990195135927845
AgAl,Ag,Al,1.95,2.055839410782316,-2.055839410782316,4,2.8284271247461903
KH,K,H,1.86,1.2633942972418235,-1.2633942972418235,3,3.0
CsH,Cs,H,1.81,2.654673325582539,-2.654673325582539,5,5.0
IO,I,O,1.8,5.130738605040295,-5.130738605040295,4,3.1622776601683795
CaH,Ca,H,1.7,1.9077974430791889,-1.9077974430791889,4,3.1622776601683795
SrH,Sr,H,1.66,2.6389054763518187,-2.6389054763518187,5,4.123105625617661
PbH,Pb,H,1.59,11.190052803310945,-11.190052803310945,18,13.92838827718412
MgH,Mg,H,1.34,1.3915407881495514,-1.3915407881495514,3,2.23606797749979
NaLi,Na,Li,0.88097,0.17728518039384802,-0.17728518039384802,1,1.0
ZnH,Zn,H,0.851,9.475824862168164,-9.475824862168164,14,11.40175425099138
LiRb,Li,Rb,0.7341,1.2374160140720467,-1.2374160140720467,3,3.0
LiCs,Li,Cs,0.7284639,2.0161383264166792,-2.0161383264166792,4,4.0
NaK,Na,K,0.646175,0.4475741176821157,-0.4475741176821157,1,1.0
NaRb,Na,Rb,0.61713614,1.0601308336781987,-1.0601308336781987,2,2.0
KRb,K,Rb,0.5183,0.612556715996083,-0.612556715996083,1,1.0
RbCs,Rb,Cs,0.47562,0.7787223123446323,-0.7787223123446323,1,1.0
XeCl,Xe,Cl,0.03,5.3346194569813985,-5.3346194569813985,3,2.23606797749979
